,year,sector,vab,emp,productividad,index,TCC,TCP_1,TCP_2,prod_tcc
155,2012,Resto industria,19087,438450.0,0.04353289998859619,,,2.645295065688402,1.7692344305123848,0.016456727475604824
156,2012,Resto industria,20122,461400.0,0.04361074989163416,,,2.645295065688402,1.7692344305123848,0.016486157048149583
157,2012,Resto industria,20122,438450.0,0.045893488425133994,,,2.645295065688402,1.7692344305123848,0.01734909992477185
158,2013,Resto industria,26134,449560.0,0.058132396120651304,,,2.7039072200168492,1.8144801867546825,0.021499404894628395
159,2014,Resto industria,33924,447720.0,0.07577057089252211,,,2.6256536160227677,1.6721521353828568,0.028857793895638167
160,2015,Resto industria,43560,450800.0,0.0966282165039929,,,2.687444409628227,1.8053785023032782,0.03595542894126698
161,2016,Resto industria,79230,,,,,2.474870697695416,1.6086191011435709,
162,2002,Comunicaciones,6164,52614.0,0.11715512981335766,,3.14,0.9941158842965611,0.7066666934948361,0.11784856440178192
163,2003,Comunicaciones,7432,54287.0,0.136902020741614,,2.93,1.2378096178732818,0.8402254851792774,0.1106002237862956
164,2004,Comunicaciones,8254,563560.0,0.014646177869259706,,2.93,1.2035224460529526,0.8545070696306212,0.012169426434291284
165,2005,Comunicaciones,10408,578320.0,0.017996956702171808,,,1.3501430843732851,0.9063353378572974,0.013329666248318939
166,2006,Comunicaciones,13435,625860.0,0.021466462148084235,,,1.344359568048199,0.9263972315392778,0.01596779809381667
167,2007,Comunicaciones,16791,639550.0,0.026254397623328905,,,1.4597207637984138,1.045406646701571,0.017985904067714293
168,2008,Comunicaciones,20252,654930.0,0.030922388652222375,,,1.7492073402923984,1.2535363609397792,0.01767794356903017
169,2009,Comunicaciones,25630,691390.0,0.03707024978666165,,,1.8840630492383101,1.223506415269924,0.01967569493051118
170,2010,Comunicaciones,30468,535110.0,0.05693782586757863,,,1.9955236223549513,1.4283430244428186,0.028532774671133854
171,2011,Comunicaciones,36557,545060.0,0.06706968040215756,,,2.250516835756798,1.6176849656438348,0.029801901206219387
172,2012,Comunicaciones,45813,632170.0,0.07246943069111157,,,2.645295065688402,1.7692344305123848,0.027395594401206202
173,2012,Comunicaciones,45813,636430.0,0.07198435020347878,,,2.645295065688402,1.7692344305123848,0.02721221958834518
174,2012,Comunicaciones,45730,632170.0,0.07233813689355711,,,2.645295065688402,1.7692344305123848,0.027345961451272775
175,2012,Comunicaciones,45730,636430.0,0.07185393523246861,,,2.645295065688402,1.7692344305123848,0.027162918860913387
176,2013,Comunicaciones,56025,669810.0,0.08364312267657993,,,2.7039072200168492,1.8144801867546825,0.030934168915773195
177,2014,Comunicaciones,72790,664680.0,0.10951134380453752,,,2.6256536160227677,1.6721521353828568,0.041708221959003415
178,2015,Comunicaciones,99369,695280.0,0.1429193993786676,,,2.687444409628227,1.8053785023032782,0.053180411422329155
179,2016,Comunicaciones,129324,,,,,2.474870697695416,1.6086191011435709,
180,2002,Resto industria,9215,193689.0,0.047576269173778586,,3.14,0.9941158842965611,0.7066666934948361,0.047857870420653904
181,2003,Resto industria,10408,187643.0,0.05546703047808871,,2.93,1.2378096178732818,0.8402254851792774,0.04481063135814722
182,2004,Resto industria,11931,2012820.0,0.005927504694905655,,2.93,1.2035224460529526,0.8545070696306212,0.004925130158016892
183,2005,Resto industria,13847,2052440.0,0.006746604042018281,,,1.3501430843732851,0.9063353378572974,0.0049969548561958135
184,2006,Resto industria,17787,2193350.0,0.008109512845647069,,,1.344359568048199,0.9263972315392778,0.006032249881942537
185,2007,Resto industria,23663,2445370.0,0.00967665424864131,,,1.4597207637984138,1.045406646701571,0.006629113244550414
186,2008,Resto industria,31614,2740850.0,0.011534378021416714,,,1.7492073402923984,1.2535363609397792,0.006594059924015995
187,2009,Resto industria,36846,2834190.0,0.013000539836778763,,,1.8840630492383101,1.223506415269924,0.006900267930011486
188,2010,Resto industria,53762,3143330.0,0.017103517607123656,,,1.9955236223549513,1.4283430244428186,0.008570942190571267
189,2011,Resto industria,74282,3388450.0,0.02192211778246691,,,2.250516835756798,1.6176849656438348,0.009740925921620574
190,2012,Resto industria,88000,3418800.0,0.02574002574002574,,,2.645295065688402,1.7692344305123848,0.00973049323453346
191,2012,Resto industria,88000,3353590.0,0.026240536261141045,,,2.645295065688402,1.7692344305123848,0.009919701057739018
192,2012,Resto industria,88763,3418800.0,0.025963203463203462,,,2.645295065688402,1.7692344305123848,0.009814861033828335
193,2012,Resto industria,88763,3353590.0,0.02646805363804162,,,2.645295065688402,1.7692344305123848,0.010005709374864643
194,2013,Resto industria,112847,3397090.0,0.0332187254385371,,,2.7039072200168492,1.8144801867546825,0.012285453137082899
195,2014,Resto industria,147055,3385410.0,0.04343787015457507,,,2.6256536160227677,1.6721521353828568,0.016543640748916826
196,2015,Resto industria,200683,3526120.0,0.05691326443796581,,,2.687444409628227,1.8053785023032782,0.021177466679520644
197,2016,Resto industria,256996,,,,,2.474870697695416,1.6086191011435709,
198,2017,"Alimentos, bebidas y tabaco",318010.524911,137557,2.3118454525105956,0.0,,,,
199,2018,"Alimentos, bebidas y tabaco",526944.7717316492,133637,3.943105365517403,1.0,,,,
200,2019,"Alimentos, bebidas y tabaco",787440.418027,130560,6.031253201799939,2.0,,,,
201,2020,"Alimentos, bebidas y tabaco",1075673.365558,133622,8.05012172814357,3.0,,,,
202,2021,"Alimentos, bebidas y tabaco",1692653.3451562403,134465,12.588058938431862,4.0,,,,
203,2020,"Combustibles, quimicos y plasticos",805369.000672,59111,13.624689155520969,5.0,,,,
